,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,busselton,84,AU,1592343913,47,61.0,-33.65,115.33,22.75
1,nambucca heads,40,AU,1592343923,87,53.6,-30.65,153.0,8.05
2,albany,0,US,1592343665,26,82.99,42.6,-73.97,1.25
3,barrow,40,US,1592343923,80,39.2,71.29,-156.79,18.34
4,tiksi,53,RU,1592343924,56,49.69,71.69,128.87,8.7
5,katsuura,15,JP,1592343925,73,75.99,35.13,140.3,9.17
6,lebu,100,CL,1592343925,92,53.1,-37.62,-73.65,13.35
7,laguna,1,US,1592343925,22,82.99,38.42,-121.42,10.29
8,airai,93,TL,1592343925,100,57.15,-8.93,125.41,5.06
9,cape town,0,ZA,1592343893,93,50.0,-33.93,18.42,3.36
10,georgetown,20,MY,1592343925,94,78.8,5.41,100.34,3.36
11,bluff,72,NZ,1592343926,78,53.58,-46.6,168.33,12.77
12,margate,14,GB,1592343776,87,60.01,51.38,1.39,1.99
13,machala,2,EC,1592343926,66,79.03,-3.27,-79.97,7.85
14,shenjiamen,89,CN,1592343926,96,76.21,29.96,122.3,5.77
15,ushuaia,75,AR,1592343831,86,37.4,-54.8,-68.3,3.36
16,itapira,25,BR,1592343926,78,63.88,-22.44,-46.82,3.4
17,punta arenas,20,CL,1592343691,86,37.4,-53.15,-70.92,14.99
18,bredasdorp,0,ZA,1592343927,100,48.2,-34.53,20.04,3.6
19,hobart,40,AU,1592343927,86,39.99,-42.88,147.33,5.82
20,dikson,100,RU,1592343927,94,32.09,73.51,80.55,14.34
21,rikitea,69,PF,1592343927,78,75.56,-23.12,-134.97,12.82
22,atuona,2,PF,1592343928,76,80.67,-9.8,-139.03,19.55
23,esperance,5,AU,1592343928,66,50.0,-33.87,121.9,18.34
24,mataura,100,NZ,1592343928,76,50.13,-46.19,168.86,4.25
25,longyearbyen,75,SJ,1592343747,80,37.4,78.22,15.64,8.05
26,kapaa,75,US,1592343661,69,80.6,22.08,-159.32,13.87
27,mar del plata,90,AR,1592343639,100,59.0,-38.0,-57.56,3.36
28,boguchany,0,RU,1592343929,83,43.61,58.38,97.45,2.37
29,pedernales,40,DO,1592343929,59,91.4,18.04,-71.74,16.11
30,tura,100,IN,1592343929,98,74.61,25.52,90.22,2.53
31,clyde river,75,CA,1592343929,80,35.6,70.47,-68.59,9.17
32,smolenskoye,56,RU,1592343930,83,48.72,52.3,85.08,6.87
33,areosa,75,PT,1592343930,82,63.0,41.72,-8.86,5.82
